id,subtopic,year,title,venue,venue_type,doi,scopus_likely,key_contribution,reported_speedup,notes
A01,A_GPU_power_flow,2012,"Performance Comparisons of Parallel Power Flow Solvers on GPU System",IEEE RTCSA 2012,conference,10.1109/rtcsa.2012.36,yes,Early head-to-head GPU vs CPU parallel power-flow timing study,n/c,First systematic GPU PF benchmarks
A02,A_GPU_power_flow,2012,"Parallelization of radial three-phase distribution power flow using GPU",IEEE ISGT Europe 2012,conference,10.1109/isgteurope.2012.6465854,verify,Distribution-level GPU PF (radial three-phase),n/c,Distribution (not transmission) focus
A03,A_GPU_power_flow,2013,"Exploration of multifrontal method with GPU in power flow computation",IEEE PESGM 2013,conference,10.1109/pesmg.2013.6673057,yes,Direct (multifrontal) factorization on GPU for PF,n/c,
A04,A_GPU_power_flow,2014,"GPU-based power flow analysis with Chebyshev preconditioner and conjugate gradient method",Electric Power Systems Research,journal,10.1016/j.epsr.2014.05.005,yes,Iterative PF: CG + Chebyshev preconditioning on GPU,n/c,
A05,A_GPU_power_flow,2015,"GPU-based two-step preconditioning for conjugate gradient method in power flow",IEEE PESGM 2015,conference,10.1109/pesgm.2015.7286544,yes,Refined two-step CG preconditioning on GPU,n/c,
A06,A_GPU_power_flow,2016,"GPU-Based Fast Decoupled Power Flow With Preconditioned Iterative Solver and Inexact Newton Method",IEEE Transactions on Power Systems,journal,10.1109/tpwrs.2016.2618889,yes,FDLF on GPU with inexact Newton; flagship journal result,n/c,Anchor journal paper for subtopic A
A07,A_GPU_power_flow,2017,"GPU-OpenCL accelerated probabilistic power flow analysis using Monte-Carlo simulation",Electric Power Systems Research,journal,10.1016/j.epsr.2017.02.022,yes,OpenCL (vendor-neutral) GPU Monte-Carlo probabilistic PF,n/c,Shows the non-CUDA route
A08,A_GPU_power_flow,2017,"Performance analysis of GPU-accelerated fast decoupled power flow using direct linear solver",IEEE EPEC 2017,conference,10.1109/epec.2017.8286158,verify,Direct vs iterative GPU FDLF performance comparison,n/c,
A09,A_GPU_power_flow,2017,"GPU-Based Batch LU-Factorization Solver for Concurrent Analysis of Massive Power Flows",IEEE Transactions on Power Systems,journal,10.1109/tpwrs.2017.2662322,yes,Batched sparse LU on GPU: many power flows in one solve,n/c,Template for N-1 / scenario parallelism
A10,A_GPU_power_flow,2018,"Simultaneous parallel power flow calculations using hybrid CPU-GPU approach",International Journal of Electrical Power & Energy Systems,journal,10.1016/j.ijepes.2018.08.033,yes,CPU-GPU hybrid batched power flows,n/c,
A11,A_GPU_power_flow,2019,"Full Parallel Power Flow Solution: A GPU-CPU-Based Vectorization Parallelization and Sparse Techniques",IEEE Transactions on Smart Grid,journal,10.1109/tsg.2019.2943746,yes,Full Newton power flow parallelized GPU-CPU,n/c,
A12,A_GPU_power_flow,2020,"Parallel Power Flow Computation Trends and Applications: A Review Focusing on GPU",Energies,journal,10.3390/en13092147,yes,Review of parallel power flow with GPU focus,n/a (review),Subtopic A map; use for snowballing
A13,A_GPU_power_flow,2021,"GPU-Based Sparse Power Flow Studies With Modified Newton's Method",IEEE Access,journal,10.1109/access.2021.3127393,yes,Sparse GPU Newton power flow,n/c,
A14,A_GPU_power_flow,2023,"Analyzing the Implementation of the Newton Raphson Based Power Flow Formulation in CPU+GPU Computing",IEEE NAPS 2023,conference,10.1109/naps58826.2023.10318707,verify,Implementation-level CPU+GPU Newton-Raphson PF analysis,n/c,
A15,A_GPU_power_flow,2024,"Research on GPU Accelerated Polar Power Flow Calculation",IEEE EPEE 2024,conference,10.1109/epee63731.2024.10875411,verify,GPU polar-form power flow,n/c,
A16,A_GPU_power_flow,2024,"GPU-Accelerated Power Flow Analysis",IEEE EI2 2024,conference,10.1109/ei264398.2024.10991444,verify,GPU PF analysis at Energy Internet conference,n/c,
S01,S_anchor_surveys,2016,"A survey of high-performance computing approaches in power systems",IEEE PESGM 2016,conference,10.1109/pesgm.2016.7741984,yes,Anchor HPC-for-power-systems survey,n/a (survey),Start forward/backward citation snowballing here
S02,S_anchor_surveys,2017,"A Survey of Distributed Optimization and Control Algorithms for Electric Power Systems",IEEE Transactions on Smart Grid,journal,10.1109/tsg.2017.2720471,yes,Anchor survey of distributed optimization/control (ADMM etc.) for power systems,n/a (survey),Context for DERMS and distributed OPF work
B01,B_GPU_OPF,2014,"GPU-Accelerated Solutions to Optimal Power Flow Problems",HICSS 2014 (47th Hawaii Intl. Conf. on System Sciences),conference,10.1109/hicss.2014.315,verify,Early GPU optimal power flow work,n/c,
B02,B_GPU_OPF,2016,"Parallel Transient Stability-Constrained Optimal Power Flow Using GPU as Coprocessor",IEEE Transactions on Smart Grid,journal,10.1109/tsg.2016.2639551,yes,TSC-OPF with GPU as coprocessor,n/c,
B03,B_GPU_OPF,2021,"Accelerated Computation and Tracking of AC Optimal Power Flow Solutions Using GPUs",arXiv (ACM proceedings 2022),preprint+conference,10.48550/arXiv.2110.06879,no (arXiv),GPU AC-OPF computation and solution tracking (condensed Newton),n/c,ACM version DOI: 10.1145/3547276.3548631
B04,B_GPU_OPF,2023,"GPU-resident sparse direct linear solvers for alternating current optimal power flow analysis",International Journal of Electrical Power & Energy Systems,journal,10.1016/j.ijepes.2023.109517,yes,GPU-resident sparse direct solvers for IPM AC-OPF iterations,n/c,Key 2020s OPF result
